n,s_n,term
1,0.813172798,0.661250000000
16,2.876774716,0.517239547786
29,3.861048625,0.514058499480
22,3.353287340,0.511115271994
17,2.946570408,0.510722186425
30,3.910996695,0.509863171624
19,3.104906138,0.507391690841
32,4.016984751,0.504255202739
11,2.354969207,0.504170905995
35,4.195654795,0.502957690179
31,3.937133771,0.500032978378
36,4.242238652,0.499905243829
13,2.547408325,0.499176090477
41,4.523919843,0.499167091401
33,4.052916785,0.497761650373
27,3.665527621,0.497633064449
14,2.639146565,0.497506756554
46,4.774532868,0.495568785042
20,3.145926360,0.494842633151
43,4.611187780,0.494489598649
12,2.435904004,0.494469026552
38,4.331193608,0.493664159749
23,3.368472040,0.493330603760
28,3.715403687,0.493008019826
37,4.265781153,0.491807806555
26,3.573226969,0.491075037471
51,4.994792682,0.489175567401
62,5.503284206,0.488486081476
52,5.023033098,0.485208875061
47,4.774532868,0.485024768339
34,4.060874315,0.485020594111
15,2.693872421,0.483796574704
42,4.506267023,0.483486725841
44,4.610961230,0.483203715092
53,5.058550137,0.482809990293
66,5.636408119,0.481349946675
39,4.331193608,0.481006104371
63,5.503284206,0.480732334151
88,6.501875563,0.480390748146
18,2.940208265,0.480268035791
87,6.463786422,0.480236033433
68,5.712278341,0.479854762471
67,5.655489882,0.477381579135
64,5.525406473,0.477033073258
56,5.166350269,0.476628126826
89,6.505730195,0.475556464825
54,5.058550138,0.473869064803
48,4.765950356,0.473214224851
69,5.713134266,0.473042074556
45,4.610822695,0.472437464983
24,3.365664058,0.471987273081
86,6.365611464,0.471174526798
61,5.357070276,0.470462326917
90,6.505068490,0.470176845099
55,5.084829936,0.470099917773
40,4.331193608,0.468980951762
73,5.847200104,0.468352726834
57,5.166350269,0.468266229864
113,7.270694639,0.467814164056
85,6.303577367,0.467471619067
121,7.520126036,0.467374343721
60,5.291695824,0.466700744906
65,5.506443957,0.466475770100
92,6.550519608,0.466405512353
70,5.713567178,0.466354998579
8,1.929927292,0.465577418836
49,4.774532868,0.465227839019
91,6.504668954,0.464952947258
120,7.462084081,0.464022490283
114,7.270393659,0.463672140014
122,7.519754516,0.463497606343
78,6.008775480,0.462889522692
74,5.847200104,0.462023635931
21,3.114614792,0.461944061908
117,7.346883242,0.461339259524
93,6.549908734,0.461304348660
9,2.037345123,0.461197238864
79,6.031244687,0.460454588276
106,6.985696091,0.460376885609
58,5.166350269,0.460192674177
123,7.520796062,0.459856694302
115,7.270694639,0.459678265550
71,5.712654006,0.459639659088
118,7.357663449,0.458772978250
141,8.037663660,0.458184660329
7,1.788654975,0.457040945488
154,8.384790854,0.456524140679
125,7.554008096,0.456504306524
94,6.548131387,0.456149198543
124,7.519825354,0.456030430222
50,4.774353386,0.455889005174
75,5.847200104,0.455863320785
116,7.271679727,0.455839017731
107,6.982810929,0.455697649242
144,8.096517445,0.455233296749
142,8.037663660,0.454958007792
119,7.357663449,0.454917743139
153,8.342409294,0.454874462927
98,6.667748161,0.453661893281
155,8.384790854,0.453578823642
72,5.714281206,0.453514023670
80,6.020715851,0.453112741925
25,3.365431525,0.453045173850
174,8.878543024,0.453037507109
103,6.829988910,0.452900470983
126,7.554008096,0.452881256472
136,7.846205712,0.452668706399
59,5.166350269,0.452392798343
145,8.097414311,0.452193920802
143,8.037663660,0.451776483262
95,6.549053378,0.451474738416
111,7.077161444,0.451227154056
176,8.911486708,0.451219291776
180,9.011169276,0.451117620640
127,7.567768907,0.450953749841
2,0.949597917,0.450868101618
83,6.116659228,0.450765302504
156,8.384790854,0.450671267081
175,8.878543024,0.450448721354
137,7.854580396,0.450324329872
109,7.002780834,0.449898526738
108,6.968221805,0.449593658541
105,6.870159626,0.449515174202
76,5.843768107,0.449337180082
81,6.032052996,0.449205720320
99,6.668148323,0.449133354147
146,8.097484070,0.449104440111
140,7.927843672,0.448933609192
100,6.700196504,0.448926331882
177,8.911486708,0.448670030241
104,6.829988910,0.448545658762
128,7.575443320,0.448338605380
149,8.173202473,0.448330460843
5,1.496049655,0.447632913874
10,2.115671705,0.447606676493
181,8.999343405,0.447448517835
112,7.077161444,0.447198340180
96,6.550208949,0.446929554971
148,8.132896069,0.446918908550
158,8.398836191,0.446458540268
178,8.911486708,0.446149412094
129,7.585592083,0.446055870200
147,8.097485827,0.446049501434
110,7.002741922,0.445803585741
84,6.116659228,0.445399048902
150,8.173202473,0.445341591104
182,8.999913500,0.445046390189
101,6.699927886,0.444445877956
77,5.847200104,0.444022715050
139,7.854475766,0.443833018374
183,9.011368163,0.443741836960
179,8.912180601,0.443726050674
82,6.031813149,0.443692315412
159,8.399228230,0.443692043137
138,7.823581882,0.443539372896
130,7.588168697,0.442925416771
192,9.217646735,0.442526100690
151,8.173202473,0.442392309043
97,6.549194851,0.442185084516
184,9.011414761,0.441334760811
160,8.399239841,0.440920186911
171,8.679030616,0.440500423540
193,9.217646735,0.440233219340
102,6.700325438,0.440140793834
164,8.493627549,0.439888469158
152,8.173202473,0.439481833326
131,7.582295239,0.438864130515
185,9.004101564,0.438236999902
161,8.399020581,0.438158675274
194,9.217646735,0.437963975941
172,8.679193047,0.437955767087
157,8.285801047,0.437289802517
165,8.493627549,0.437222478435
166,8.517914768,0.437077542107
186,9.011042487,0.436553154285
132,7.587955981,0.436189969513
195,9.217646735,0.435718006834
162,8.398697212,0.435420462086
173,8.675288038,0.435032500197
3,1.142067220,0.434772512025
167,8.517914768,0.434460311316
163,8.409040675,0.433815736640
187,9.006822772,0.433812066528
196,9.217646735,0.433494955778
133,7.585696467,0.432652563125
188,9.013683639,0.432162195418
168,8.517914768,0.431874238034
4,1.314154294,0.431750377221
197,9.217646735,0.431294473769
199,9.252778340,0.430220638193
134,7.585867068,0.429443128205
189,9.008325746,0.429364723561
169,8.517914768,0.429318769170
198,9.217646735,0.429116218851
200,9.252922889,0.428082909905
190,9.008572580,0.427128315388
170,8.517914768,0.426793364646
135,7.586919052,0.426380301539
191,9.011796821,0.425196240511
6,1.592154177,0.422492487283
